,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated,Unnamed: 9
0,Frederik H,Seit 40 Jahren kenne das erst seit corona 😅,2022-01-17T20:28:02Z,1.0,0.0,,,,,djZtUY1vioI
1,Noname noname,"WDRaktuell...Eine wichtige Frage ist, steht das Jo nun auf Frauen oder Männer oder Beides???",2022-01-16T19:40:18Z,0.0,0.0,,,,,
2,Sky,"Danke euch, mega!",2022-01-16T15:37:09Z,0.0,0.0,,,,,
3,M xt,Wohlstandsprobleme,2022-01-16T11:01:22Z,2.0,0.0,,,,,
4,Mr. Chopper,"... Gender, schon wieder?! Egal wo ich hinschaue und hingehe dieses Thema ist präsenter als alles Andere und ich denke mir: Wie gut muss es uns in unserer Gesellschaft gehen, dass wir uns mit so einer Scheiße auseinandersetzten müssen und das wir dadurch unsere Gesellschaft spalten und wir uns aus diesem Grund immer wieder streiten. In anderen Ländern verhungern Menschen, haben kein Dach über dem Kopf, wissen nicht ob sie den nächsten Tag oder die nächste Woche noch erleben und hier müssen wir uns damit befassen welches von den 120000 Geschlechtern wir auswählen.",2022-01-15T23:36:07Z,2.0,1.0,,,,,
5,,"Auch wenn dir das Thema nicht gefällt, gibt es viele Menschen für die das Thema sehr wichtig ist. Bitt bleib diesen Menschen gegenüber doch respektvoll - über andere Nachrichten berichten wir auf unserem Kanal nach wie vor täglich, Mr. Chopper.",,,,WDR aktuell,"Auch wenn dir das Thema nicht gefällt, gibt es viele Menschen für die das Thema sehr wichtig ist. Bitt bleib diesen Menschen gegenüber doch respektvoll - über andere Nachrichten berichten wir auf unserem Kanal nach wie vor täglich, Mr. Chopper.",2022-01-16T06:56:28Z,2022-01-16T06:56:28Z,
6,Nutzer,"Wirkt auf mich oft eher wie eine zeitgenössische und sozialansteckende Manifestation von einem allgemeineren psychischen Problem, wie z.B einem Identitätsmangel oder unerfülltem Geltungsbedürniss.",2021-11-24T16:06:56Z,1.0,0.0,,,,,
7,Ash Evil,😹😹😹,2021-11-11T08:16:54Z,3.0,0.0,,,,,
8,Hive Mind,"Auf den ersten Blick wirkt das ganze Thema Gender progressiv, liberal und modern, aber wenn man genauer hinsieht, erkennt man, wieviel Misogynie oft darin steckt und wie das Recht zur Selbstbestimmung des Geschlechts die Rechte vulnerabler Menschen untergraben würde. Wenn man(n) sich ohne Weiteres als Frau identifizieren kann, sind geschützte Räume (Frauenzimmer im Krankenhaus, Toilette, Umkleide, Gefängnisse)  für Frauen und Mädchen Vergangenheit.<br><br>Dazu kommt, dass ich meistens von non-binären Menschen als Argumente höre, dass sie nb sind, z.B. weil sie sich mit vermeintlich weiblichen Eigenschaften nicht identifizieren können, aber davon auszugehen, dass eine Vulva und Brüste zu haben bedeutet, dass man rosa, kochen, Barbies, Schminke, etc mögen muss ist zutiefst misogyn/frauenverachtend. Frauen kämpfen seit Jahrhunderten dafür, dass sie nicht mehr auf ihr Geschlecht reduziert werden und statt unseren Kindern zu erzählen, dass es cis und non-binär gäbe, sollten wir ihnen von  klein auf vermitteln, dass ihre Geschlechtsteile nicht ihre Persönlichkeit diktieren müssen.",2021-11-10T12:07:00Z,2.0,0.0,,,,,
9,HowToPickUp - Lukas,Perx 😂,2021-09-23T08:23:08Z,1.0,0.0,,,,,
10,Aliven‘t,"Nicht-binäre Person hier. Wenn jemand wirklich Fragen hat, anstatt einfach mental abwesend zu kommentieren, bin ich gerne für sie offen.",2021-08-31T18:33:24Z,5.0,1.0,,,,,
11,,Heyy ich möchte dieses Schuljahr meine Facharbeit über nichtbinäre Menschen schreiben und suche noch wissenschaftliche Buchquellen oder Interviewfragen :),,,,Queereo_xx,Heyy ich möchte dieses Schuljahr meine Facharbeit über nichtbinäre Menschen schreiben und suche noch wissenschaftliche Buchquellen oder Interviewfragen :),2021-09-12T12:48:38Z,2021-09-12T12:48:38Z,
12,Wejo Achim,"Ich identifiziere mich auch nicht als einen Durchschnittsbürger und möchte ab sofort mit Boss oder Super-Saya-Jin angesprochen werden, ich nenne mich einfach Gandalf der Erbarmungslose",2021-08-14T12:36:01Z,12.0,0.0,,,,,
13,4 Takt Opa,Nach allen Seiten offen zu sein....heißt auch.....das man nicht ganz dicht ist.,2021-08-11T02:54:19Z,6.0,0.0,,,,,
14,Fetige Pomes,Rundfunkgebühren,2021-08-10T15:35:17Z,2.0,0.0,,,,,
15,Birgit Link,"Egal wie man sich fühlt, man kann nicht anderen seinen kranken Wahn aufzwingen.",2021-08-07T16:09:19Z,2.0,1.0,,,,,
16,,"wo genau wird dir aufgezwungen, nonbinary zu sein? Du wirst nur gebeten, das korrekte Pronomen zu benutzen. Wenn du eine männlich gekleidete Frau mit er ansprichst, und sie dann sagt dass sie eigentlich eine Frau ist und Anna heißt, fühlst du dich dann auch wie in einer bösen gender-Diktatur?",,,,Schwarz und so,"wo genau wird dir aufgezwungen, nonbinary zu sein? Du wirst nur gebeten, das korrekte Pronomen zu benutzen. Wenn du eine männlich gekleidete Frau mit er ansprichst, und sie dann sagt dass sie eigentlich eine Frau ist und Anna heißt, fühlst du dich dann auch wie in einer bösen gender-Diktatur?",2021-11-21T12:48:56Z,2021-11-21T12:48:56Z,
